[153522]: 684ms SPX_TRACE_INFO:  web_socket.cpp:880 Opening websocket completed. TransportRequest: 0x5b83d800, wsio handle: 0x1ea8258, time: 2024-01-02T16:45:26.8093910Z
[153522]: 684ms SPX_TRACE_INFO:  usp_connection.cpp:877 TS:333, OnConnected: connection:0x59e488c0
[153522]: 685ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1456 [0x7f8f5b82aa00]CSpxAudioStreamSession::AdapterConnected
[614433]: 685ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1684 DispatchEvent task started...
[153522]: 685ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:247 OnWebSocketOpened
[614433]: 685ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:131 Created 'CSpxConnectionEventArgs' as '189265475'
[614433]: 686ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1684 DispatchEvent task complete!
[153522]: 686ms SPX_TRACE_VERBOSE:  web_socket.cpp:540 [0x0x7f8f5b83d800] Web socket sending message. Time: 2024-01-02T16:45:26.8117260Z, TimeInQueue: 332ms, IsBinary: 0, Path: speech.config, Size:365 B
[153522]: 687ms SPX_TRACE_VERBOSE:  web_socket.cpp:649 [0x0x7f8f5b83d800] Web socket send message completed. Result: 0, SendTime: 0ms, IsBinary: 0, Path: speech.config, Size:365 B
[153522]: 687ms SPX_TRACE_VERBOSE:  web_socket.cpp:540 [0x0x7f8f5b83d800] Web socket sending message. Time: 2024-01-02T16:45:26.8128920Z, TimeInQueue: 179ms, IsBinary: 0, Path: speech.context, Size:502 B
[153522]: 687ms SPX_TRACE_VERBOSE:  web_socket.cpp:649 [0x0x7f8f5b83d800] Web socket send message completed. Result: 0, SendTime: 0ms, IsBinary: 0, Path: speech.context, Size:502 B
